Name,Size,Location,Price,Photo
Pasta Sauce,Jar,Safeway,4.00,http://farm4.staticflickr.com/3180/5835826345_8978f3b27d.jpg
Spaghetti Noodles,Package,Safeway,2.00,http://farm9.staticflickr.com/8341/8247047559_3c0ef7cf27_b.jpg
Ground Beef,lb,Safeway,4.00,http://farm3.staticflickr.com/2074/2379377093_b4afa1f022.jpg
Red-Leaf Lettuce,Head,Safeway,0.40,http://farm9.staticflickr.com/8477/8244694705_142c19cb30.jpg
Butter Lettuce Dried Wakame Seaweed,Head,99 Ranch,0.65,http://farm9.staticflickr.com/8061/8245764634_f198a67b7b.jpg
Enoki Mushrooms,Package,Pusan Market,4.00,http://farm9.staticflickr.com/8345/8244695087_c30f507ddb.jpg
Daikon Sprouts,Package,Pusan Market,3.00,http://farm9.staticflickr.com/8198/8244702077_53e74aba01_z.jpg
Miso Salad Dressing,Bottle,99 Ranch,6.00,http://farm9.staticflickr.com/8059/8244714255_217e79cc7f.jpg
Tofu,Package,99 Ranch,1.50,http://farm9.staticflickr.com/8481/8245782896_53f6a7c4a6.jpg
Shredded Carrots,lbs,Jetro,7.00,http://farm9.staticflickr.com/8057/8244777143_f51598faaa.jpg
Cucumbers,count,Koreana,0.60,http://farm9.staticflickr.com/8204/8245865278_abd66d913c_z.jpg
Salmon,lbs,Costco,6.00,http://farm9.staticflickr.com/8485/8244800021_aa4b5ca58b_h.jpg
Green Onions,Bunches,Koreana,0.35,http://farm9.staticflickr.com/8490/8244797819_9f09feae56.jpg
Gochujang (Red Bean Paste),Box,Koreana,8.00,http://farm9.staticflickr.com/8490/8244797819_9f09feae56.jpg
Roasted Seaweed,sheets,Koreana,0.05,http://farm9.staticflickr.com/8200/8244849825_603e4a5af4_m.jpg
Miso Paste,cups,Koreana,0.45,http://farm9.staticflickr.com/8206/8245865744_be20e89823.jpg
Chicken Breast,lbs,Safeway,3.00,http://farm1.staticflickr.com/6/11533831_25b04bdb88_m.jpg
Chicken Thighs,lbs,Safeway,3.00,http://farm9.staticflickr.com/8207/8248162808_3a53cab53f.jpg
Lime Juice,bottle,Safeway,1.50,http://farm3.staticflickr.com/2247/2401325249_3c506726ba_m.jpg
Meatballs,10 lb. bag,Safeway,9.95,http://farm6.staticflickr.com/5215/5493335597_a8cdb677a7.jpg
Potato Salad,box,Safeway,5.45,http://farm1.staticflickr.com/48/139800516_4b84cea332_m.jpg
Hot Dog,bag,Costco,13.00,http://farm1.staticflickr.com/48/139800516_4b84cea332_m.jpg
Hot Dog Buns,bag,Costco,6.00,http://farm9.staticflickr.com/8060/8248009938_4e85e27e97.jpg
Rice,cups,Costco,0.00,http://farm9.staticflickr.com/8344/8246220834_f944e29fd4_z.jpg
Mayonnaise,cups,Safeway,0.20,http://farm9.staticflickr.com/8205/8245153955_7a16ae9587.jpg
Sour Cream,cups,Safeway,0.15,http://farm9.staticflickr.com/8198/8245153925_1fbfd4a7bd.jpg
Shiitake Mushrooms,count,Koreana,0.55,http://farm9.staticflickr.com/8347/8246220964_b0cf6af42c_b.jpg
Imitation Crab,lbs,Koreana,1.00,http://farm9.staticflickr.com/8486/8246221002_ba34b626e7.jpg
Shrimp,lbs,Koreana,4.00,http://farm9.staticflickr.com/8200/8245154145_5649a6e1b7.jpg
Masago,containers,Koreana,4.00,http://farm9.staticflickr.com/8062/8246221036_0720cd4697.jpg
Furikake,bottles,Koreana,4.00,http://farm9.staticflickr.com/8340/8245154105_58c02121a9.jpg
Romaine Lettuce,heads,Costco,0.85,http://farm9.staticflickr.com/8202/8246219238_27300eb91c.jpg
Tomato,count,Costco,0.45,http://farm9.staticflickr.com/8489/8246219404_800ae1064a.jpg
Roma Tomatoes,box,Costco,8.00,http://farm9.staticflickr.com/8061/8246925654_e0fab746ed.jpg
Balsamic Vinegar,cups,Safeway,0.65,http://farm9.staticflickr.com/8481/8246219258_c2a32011d2.jpg
Olive Oil,cups,Safeway,0.80,http://farm9.staticflickr.com/8342/8245152253_7d01871f15.jpg
Soy Sauce,cups,99 Ranch,0.10,http://farm9.staticflickr.com/8203/8246219314_4ecfef58a4.jpg
Sugar,cups,Costco,0.10,http://farm9.staticflickr.com/8490/8246219354_b90536a114_b.jpg
Wasabi,tubs,Costco,8.00,http://farm9.staticflickr.com/8061/8246857508_996ceb5175.jpg
Avocado,count,Costco,0.90,http://farm9.staticflickr.com/8345/8245789977_3607c0ea35.jpg
Ghirardelli Brownie Mix,bag,Costco,3.00,http://farm9.staticflickr.com/8479/8246866258_e01f60b838_m.jpg
Hoagie Rolls,count,Costco,0.20,http://farm9.staticflickr.com/8346/8246906450_18a76f0ab0_b.jpg
Shredded Mozarella Cheese,bags,Costco,8.00,http://farm9.staticflickr.com/8338/8246912760_ff59f686e5.jpg
Iceberg Salad Mix,bags,Costco,4.00,http://farm9.staticflickr.com/8482/8246373540_6885b76e46_b.jpg
Salad Dressing,bottle,Costco,5.00,http://farm9.staticflickr.com/8057/8245845481_ee99fcfb29.jpg
Tyson Teriyaki Chicken Thighs,bags,Costco,10.00,http://farm9.staticflickr.com/8069/8245306575_1143168908_m.jpg
Balsamic Vinaigrette,bottle,Costco,8.00,http://farm9.staticflickr.com/8345/8246373492_68bafcecb8.jpg
Panda Express Orange Glaze,44oz bottles,Costco,9.00,http://farm9.staticflickr.com/8350/8248009916_1a02d1035d.jpg
Pork Shoulder,lbs,Costco,3.00,http://farm9.staticflickr.com/8058/8248048556_0582f19176.jpg
Char Siu Sauce,jar,99 Ranch,4.00,http://farm9.staticflickr.com/8203/8246980225_27f9a66e2d.jpg
Cilantro,bunches,Safeway,0.20,http://farm9.staticflickr.com/8489/8248048606_5d9741e743.jpg
BBQ Paste,jar,Safeway,4.00,http://farm9.staticflickr.com/8343/8247018641_336969427e.jpg
Lemons,count,Safeway,0.60,http://farm9.staticflickr.com/8067/8247035139_87a31b24b9_b.jpg
Oranges,count,Safeway,0.50,http://farm9.staticflickr.com/8070/8247035167_e9029ab440_b.jpg
